DATE,output
1/1/1972,58.8126
2/1/1972,65.8899
3/1/1972,73.093
4/1/1972,77.1119
5/1/1972,83.9479
6/1/1972,100.0198
7/1/1972,100.0267
8/1/1972,96.8091
9/1/1972,86.7346
10/1/1972,71.634
11/1/1972,62.3089
12/1/1972,60.533
1/1/1973,60.73
2/1/1973,72.0823
3/1/1973,79.1238
4/1/1973,82.3362
5/1/1973,85.6838
6/1/1973,107.5552
7/1/1973,105.5455
8/1/1973,100.0714
9/1/1973,93.1884
10/1/1973,77.6124
11/1/1973,68.567
12/1/1973,63.3199
1/1/1974,65.0908
2/1/1974,77.924
3/1/1974,84.9161
4/1/1974,83.4434
5/1/1974,88.8372
6/1/1974,106.8733
7/1/1974,100.6724
8/1/1974,98.7463
9/1/1974,90.001
10/1/1974,74.7832
11/1/1974,68.4935
12/1/1974,63.2118
1/1/1975,66.832
2/1/1975,78.1266
3/1/1975,86.4525
4/1/1975,85.2128
5/1/1975,96.6418
6/1/1975,111.9466
7/1/1975,105.3439
8/1/1975,104.1013
9/1/1975,89.9612
10/1/1975,76.0295
11/1/1975,69.6034
12/1/1975,62.2774
1/1/1976,63.738
2/1/1976,75.6382
3/1/1976,88.1839
4/1/1976,90.7819
5/1/1976,94.2738
6/1/1976,109.6267
7/1/1976,106.6821
8/1/1976,102.8187
9/1/1976,91.2392
10/1/1976,74.2722
11/1/1976,66.8215
12/1/1976,61.8991
1/1/1977,63.2787
2/1/1977,74.6252
3/1/1977,89.678
4/1/1977,92.5005
5/1/1977,99.1276
6/1/1977,114.9024
7/1/1977,112.6136
8/1/1977,106.7255
9/1/1977,91.9828
10/1/1977,76.2062
11/1/1977,67.506
12/1/1977,61.4889
1/1/1978,61.8755
2/1/1978,72.7914
3/1/1978,83.7755
4/1/1978,88.8438
5/1/1978,92.2079
6/1/1978,111.0551
7/1/1978,106.7446
8/1/1978,103.6505
9/1/1978,90.7391
10/1/1978,79.4483
11/1/1978,68.2624
12/1/1978,62.894
1/1/1979,63.3022
2/1/1979,74.081
3/1/1979,86.5001
4/1/1979,91.0469
5/1/1979,94.1432
6/1/1979,109.2112
7/1/1979,106.459
8/1/1979,106.4218
9/1/1979,95.9773
10/1/1979,80.1807
11/1/1979,68.4193
12/1/1979,63.6216
1/1/1980,67.2678
2/1/1980,76.5893
3/1/1980,85.8734
4/1/1980,87.8306
5/1/1980,91.8913
6/1/1980,108.0841
7/1/1980,107.5325
8/1/1980,107.6449
9/1/1980,90.6599
10/1/1980,76.4042
11/1/1980,66.8259
12/1/1980,64.3847
1/1/1981,60.4926
2/1/1981,76.2979
3/1/1981,86.2446
4/1/1981,88.6349
5/1/1981,93.1388
6/1/1981,109.9142
7/1/1981,109.844
8/1/1981,105.9621
9/1/1981,92.2542
10/1/1981,78.03
11/1/1981,71.9423
12/1/1981,67.2041
1/1/1982,62.8048
2/1/1982,77.7131
3/1/1982,89.0363
4/1/1982,86.5217
5/1/1982,93.4026
6/1/1982,106.778
7/1/1982,100.8332
8/1/1982,97.7877
9/1/1982,85.7699
10/1/1982,71.711
11/1/1982,65.7048
12/1/1982,61.1946
1/1/1983,63.2844
2/1/1983,74.1388
3/1/1983,86.4621
4/1/1983,83.424
5/1/1983,94.313
6/1/1983,110.2657
7/1/1983,107.6536
8/1/1983,105.441
9/1/1983,96.0448
10/1/1983,79.1986
11/1/1983,70.4719
12/1/1983,65.6861
1/1/1984,67.0879
2/1/1984,85.7025
3/1/1984,96.8463
4/1/1984,101.8675
5/1/1984,108.3481
6/1/1984,128.8239
7/1/1984,125.0866
8/1/1984,116.5547
9/1/1984,106.8324
10/1/1984,88.2149
11/1/1984,80.344
12/1/1984,73.9401
1/1/1985,76.145
2/1/1985,86.5874
3/1/1985,101.2173
4/1/1985,104.8586
